"t_stamp","1KTI10 熟料落料溫度","1CPI18 窯頭風壓","1K001_ON 窯主馬達運轉","1KII01 旋窯主馬達A電流","1KII02 旋窯主馬達B電流","1KJI01 旋窯主馬達A功率","1KSI01 窯主馬達A轉速","1KTI09 燒成帶溫度"
2026-03-20 15:43:51.000,1101.49231,-1.78651714,-1.0,602.9652,626.051941,423.367279,2.09736657,799.4101
2026-03-20 15:43:46.000,1101.49231,-1.74859524,-1.0,602.9652,626.051941,423.367279,2.09736657,799.4101
2026-03-20 15:43:41.000,1101.49231,-1.80758381,-1.0,633.4972,629.5787,416.542328,2.092837,799.4101
2026-03-20 15:43:36.000,1101.49231,-1.80758381,-1.0,643.2935,641.85675,435.349365,2.09389043,799.4101
2026-03-20 15:43:31.000,1101.49231,-1.86797714,-1.0,643.2935,641.85675,435.349365,2.09389043,799.4101
2026-03-20 15:43:26.000,1101.49231,-1.86797714,-1.0,600.5162,640.0934,425.47403,2.090625,799.4101
2026-03-20 15:43:21.000,1101.49231,-1.64676952,-1.0,662.233154,653.0899,440.287048,2.10863757,799.4101
2026-03-20 15:43:16.000,1101.49231,-1.64676952,-1.0,662.233154,653.0899,440.287048,2.10863757,799.4101
2026-03-20 15:43:11.000,1101.49231,-0.900280952,-1.0,662.233154,653.0899,440.287048,2.10863757,799.4101
2026-03-20 15:43:06.000,1101.49231,-1.15379238,-1.0,646.428345,640.0934,428.98526,2.09167838,799.4101
2026-03-20 15:43:01.000,1101.49231,-1.15379238,-1.0,646.428345,640.0934,428.98526,2.09167838,799.4101
2026-03-20 15:42:56.000,1101.49231,-1.15379238,-1.0,613.48,631.635864,422.665039,2.10179067,799.4101
2026-03-20 15:42:51.000,1101.49231,-1.969101,-1.0,604.6959,637.6443,420.536346,2.09736657,799.4101
2026-03-20 15:42:46.000,1101.49231,-2.02106714,-1.0,604.6959,637.6443,420.536346,2.09736657,799.4101
2026-03-20 15:42:41.000,1101.49231,-2.02106714,-1.0,604.6959,637.6443,420.536346,2.09736657,799.4101
2026-03-20 15:42:36.000,1101.49231,-1.67977524,-1.0,661.9066,646.069153,442.415741,2.104108,799.4101
2026-03-20 15:42:31.000,1101.49231,-1.95786476,-1.0,661.9066,646.069153,442.415741,2.104108,799.4101
2026-03-20 15:42:26.000,1101.49231,-1.95786476,-1.0,641.2037,626.3785,416.542328,2.09515452,799.4101
2026-03-20 15:42:21.000,1101.49231,-1.95786476,-1.0,642.215942,649.204,429.709442,2.104108,799.4101
2026-03-20 15:42:16.000,1101.49231,-1.95224667,-1.0,642.215942,649.204,429.709442,2.104108,799.4101
2026-03-20 15:42:11.000,1101.49231,-2.12008429,-1.0,642.215942,649.204,429.709442,2.104108,799.4101
2026-03-20 15:42:06.000,1101.49231,-2.12008429,-1.0,652.7633,658.6738,448.5165,2.09515452,799.4101
2026-03-20 15:42:01.000,1101.49231,-1.97682571,-1.0,652.7633,658.6738,448.5165,2.09515452,799.4101
2026-03-20 15:41:56.000,1101.49231,-1.97682571,-1.0,609.2676,634.150269,414.655029,2.09957862,799.4101
2026-03-20 15:41:51.000,1101.49231,-2.18960667,-1.0,659.0657,650.967346,431.596741,2.090625,799.4101
2026-03-20 15:41:46.000,1101.49231,-2.18960667,-1.0,659.0657,650.967346,431.596741,2.090625,799.4101
2026-03-20 15:41:41.000,1101.49231,-2.47401667,-1.0,659.0657,650.967346,431.596741,2.090625,799.4101
2026-03-20 15:41:36.000,1101.49231,-2.11867952,-1.0,685.352539,654.461365,450.1624,2.09736657,799.4101
2026-03-20 15:41:31.000,1101.49231,-2.11867952,-1.0,685.352539,654.461365,450.1624,2.09736657,799.4101
2026-03-20 15:41:26.000,1101.49231,-2.11867952,-1.0,655.5716,641.497559,430.631165,2.090625,799.4101
2026-03-20 15:41:21.000,1101.49231,-2.12921333,-1.0,652.7633,661.1555,436.753876,2.104108,799.4101
2026-03-20 15:41:16.000,1101.49231,-1.96418571,-1.0,652.7633,661.1555,436.753876,2.104108,799.4101
2026-03-20 15:41:11.000,1101.49231,-1.96418571,-1.0,652.7633,661.1555,436.753876,2.104108,799.4101
